Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Low|HarvestHavre=Missing,0,09523809523809523,0,8809523809523809,0,023809523809523808
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Low|Humidity=Mid|DistCoast=High|HarvestHavre=Low,0,26490066225165565,0,38505203405865657,0,3500473036896878
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Low|HarvestHavre=Missing,0,0,8055555555555556,0,19444444444444445
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=High|DistCoast=Low|HarvestHavre=High,1,0,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Mid|HarvestHavre=High,0,2727272727272727,0,48484848484848486,0,24242424242424243
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Low|Humidity=High|DistCoast=Low|HarvestHavre=Mid,0,7521301316808675,0,2300542215336948,0,017815646785437646
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=High|DistCoast=Low|HarvestHavre=Missing,0,7142857142857143,0,21428571428571427,0,07142857142857142
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Low|Humidity=High|DistCoast=Low|HarvestHavre=Low,0,2601626016260163,0,4715447154471545,0,2682926829268293
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=High|DistCoast=Mid|HarvestHavre=Missing,1,0,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=Low|HarvestHavre=Missing,0,06818181818181818,0,8409090909090909,0,09090909090909091
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Mid|HarvestHavre=Missing,0,23529411764705882,0,7647058823529411,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=High|HarvestHavre=Missing,0,5,0,5,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=High|DistCoast=High|HarvestHavre=Missing,0,5,0,5,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Low|HarvestHavre=High,0,4375,0,46875,0,09375
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=Mid|HarvestHavre=Missing,0,6,0,4,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Low|Humidity=High|DistCoast=High|HarvestHavre=Missing,0,9290322580645162,0,07096774193548387,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Low|DistCoast=High|HarvestHavre=Missing,1,0,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Low|Humidity=Mid|DistCoast=High|HarvestHavre=Missing,0,6764705882352942,0,29411764705882354,0,029411764705882353
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Low|DistCoast=Mid|HarvestHavre=Low,0,22988505747126436,0,7126436781609196,0,05747126436781609
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=High|HarvestHavre=Mid,0,5555555555555556,0,2222222222222222,0,2222222222222222
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Mid|HarvestHavre=Missing,1,0,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Low|Humidity=High|DistCoast=Low|HarvestHavre=Missing,0,46153846153846156,0,23668639053254437,0,30177514792899407
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Low|DistCoast=High|HarvestHavre=Low,0,336283185840708,0,6230088495575221,0,04070796460176991
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=High|DistCoast=Mid|HarvestHavre=Low,1,0,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=High|HarvestHavre=Mid,0,1958041958041958,0,43356643356643354,0,3706293706293706
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=High|DistCoast=Mid|HarvestHavre=Mid,1,0,0
